Borough,CD Number,CD Name,2010 Population,2000,2015,2016,2017,2018
Bronx,1,"Melrose, Mott Haven, Port Morris",91497,27054.90113,25633.56154,28377.66215,21365.84689,25729
Bronx,2,"Hunts Point, Longwood",52246,27054.90113,25633.56154,28377.66215,21365.84689,25729
Bronx,3,"Morrisania, Crotona Park East",79762,28600.89548,25256.53562,26819.13501,26467.31734,26470
Bronx,4,"Highbridge, Concourse Village",146441,35403.27062,27438.87506,32728.0309,31489.30024,33381
Bronx,5,"University Hts., Fordham, Mt. Hope",128200,33177.03876,25396.21375,27654.50556,30741.30197,30465
Bronx,6,"East Tremont, Belmont",83268,28600.89548,25256.53562,26819.13501,26467.31734,26470
Bronx,7,"Bedford Park, Norwood, Fordham",139286,42051.04633,33542.70412,35389.99526,36029.26246,34349
Bronx,8,"Riverdale, Kingsbridge, Marble Hill",101731,64931.76271,64814.85104,60571.63775,55015.57808,54621
Bronx,9,"Soundview, Parkchester",172298,45297.63446,38634.12932,38917.46168,40767.94356,43474
Bronx,10,"Throgs Nk., Co-op City, Pelham Bay",120392,68178.35085,53413.75533,61717.67471,60657.15627,54956
Bronx,11,"Pelham Pkwy, Morris Park, Laconia",113232,54109.80226,47841.33327,52791.47028,48933.76113,54423
Bronx,12,"Wakefield, Williamsbridge",152344,57201.79096,49855.63887,53385.78862,59893.87194,51263
Brooklyn,1,"Williamsburg, Greenpoint",173083,41741.84746,70476.54107,72409.17088,78069.00688,80658
Brooklyn,2,"Brooklyn Heights, Fort Greene",99617,63540.3678,91002.92423,90381.06684,94327.26889,108441
Brooklyn,3,Bedford Stuyvesant,152985,35248.67119,41529.56234,53441.8956,52896.92904,54996
Brooklyn,4,Bushwick,112634,35557.87006,45361.78399,50319.64623,51622.07097,53361
Brooklyn,5,"East New York, Starrett City",182896,42360.2452,36861.37236,39358.00535,37487.55335,41372
Brooklyn,6,"Park Slope, Carroll Gardens",104709,81937.70056,117067.0725,107925.9263,137374.8747,122646
Brooklyn,7,"Sunset Park, Windsor Terrace",126230,51327.01243,47492.66306,55343.29871,57869.99653,62458
Brooklyn,8,Crown Heights North,96317,46379.83051,48012.51774,53913.60982,61253.31293,65512
Brooklyn,9,"Crown Heights South, Wingate",98429,46843.62881,47471.65883,52781.08009,52046.00459,62344
Brooklyn,10,"Bay Ridge, Dyker Heights",124491,66477.75706,67610.51397,69167.43444,69988.7913,72402
Brooklyn,11,"Bensonhurst, Bath Beach ",181981,52563.80791,52541.02959,53076.16123,54513.17598,54458
Brooklyn,12,"Borough Park, Ocean Parkway",191382,49008.0209,45339.72955,47582.87258,46229.14615,50551
Brooklyn,13,"Coney Island, Brighton Beach",104278,37876.86158,42304.6184,40743.01647,36806.81379,39769
Brooklyn,14,"Flatbush, Midwood",160664,54109.80226,52150.35093,52625.22738,57678.41114,62139
Brooklyn,15,"Sheepshead Bay, Gerritsen Beach",159650,58747.78531,57140.95583,62496.93828,62442.56902,61704
Brooklyn,16,"Brownsville, Ocean Hill",86468,32929.67966,28419.77257,31385.61953,20640.26819,32448
